Class,Word,TF-IDF Value,Prior,Likelihood,Posterior
Kontak dengan Arus Listrik,korban,0.8876445407872787,0.1226851851851852,0.000170144182277709,1.8528843497483276e-05
Kontak dengan Arus Listrik,setrum,0.8543642917643721,0.1226851851851852,6.294015696275034e-05,6.597251387111079e-06
Kontak dengan Arus Listrik,sengat,0.5850624694219707,0.1226851851851852,6.294015696275034e-05,4.517749893279994e-06
Kontak dengan Arus Listrik,kabel,0.4723171994674566,0.1226851851851852,0.00012008461651335977,6.958461985758843e-06
Kontak dengan Arus Listrik,tewas,0.41681094401110724,0.1226851851851852,0.00013209940655517516,6.755104982701827e-06
Kontak dengan Arus Listrik,rumah,0.3855307314184746,0.1226851851851852,0.00014367980980231927,6.7958982746463885e-06
Kontak dengan Arus Listrik,tiang,0.3824636310935593,0.1226851851851852,6.706931025282922e-05,3.147067853043033e-06
Kontak dengan Arus Listrik,warga,0.3469755370612344,0.1226851851851852,0.00018827333694240248,8.014562121747095e-06
Kontak dengan Arus Listrik,tikus,0.34059210959232006,0.1226851851851852,6.294015696275034e-05,2.6299926028120122e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",tabrak,0.999,0.1226851851851852,6.288821595867671e-05,7.707736968435316e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",mobil,0.6088573533412373,0.1226851851851852,8.744584360104479e-05,6.532010137657563e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",truk,0.585425284585617,0.1226851851851852,8.713739792933217e-05,6.258470155055465e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",celaka,0.4906648596318654,0.1226851851851852,0.00015796941156003626,9.509333506734677e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",sopir,0.445856279389602,0.1226851851851852,6.981462094717369e-05,3.81885698739032e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",kendaraan,0.390809698101207,0.1226851851851852,6.64112909102947e-05,3.1841929565085105e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",jalan,0.384588488982775,0.1226851851851852,0.00013361486984404897,6.304391823251171e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",orang,0.36288666880228293,0.1226851851851852,0.0002808066108533544,1.2501740060838747e-05
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",kemudi,0.3408732461513559,0.1226851851851852,7.170605113054032e-05,2.9987540373398296e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",kereta,0.2971729774518756,0.1226851851851852,6.288821595867671e-05,2.29282396829411e-06
Melakukan Gerakan Berat,kpps,0.999,0.1226851851851852,6.289334963254679e-05,7.708366164339016e-06
Melakukan Gerakan Berat,tugas,0.7435607337368153,0.1226851851851852,0.00012064860254599567,1.100603440271149e-05
Melakukan Gerakan Berat,pemilu,0.6728778231033462,0.1226851851851852,6.289334963254679e-05,5.191980624968897e-06
Melakukan Gerakan Berat,lelah,0.6314253437829004,0.1226851851851852,6.289334963254679e-05,4.872129885207448e-06
Melakukan Gerakan Berat,meninggal,0.5156253806837762,0.1226851851851852,0.00021262579463917703,1.3450621722483454e-05
Melakukan Gerakan Berat,kpu,0.5098142818528689,0.1226851851851852,6.289334963254679e-05,3.933768929260711e-06
Melakukan Gerakan Berat,sakit,0.4164462467472792,0.1226851851851852,0.00016341366648723563,8.349095898190994e-06
Melakukan Gerakan Berat,tps,0.3679164160194505,0.1226851851851852,6.289334963254679e-05,2.8388733258750847e-06
Melakukan Gerakan Berat,anggota,0.35723935488952435,0.1226851851851852,9.122729489846547e-05,3.998307728763293e-06
Melakukan Gerakan Berat,sopir,0.3516367813107414,0.1226851851851852,6.289334963254679e-05,2.7132583255183154e-06
Paparan/Kontak dengan Suhu Ekstrem ,bakar,0.999,0.1273148148148149,8.6614863770691e-05,1.1016327985834768e-05
Paparan/Kontak dengan Suhu Ekstrem ,api,0.5390335253709873,0.1273148148148149,7.079559832775959e-05,4.858486231724156e-06
Paparan/Kontak dengan Suhu Ekstrem ,gudang,0.35667481756231834,0.1273148148148149,6.28536910966145e-05,2.854185380266624e-06
Paparan/Kontak dengan Suhu Ekstrem ,museum,0.331549842155588,0.1273148148148149,6.28536910966145e-05,2.65313015025191e-06
Paparan/Kontak dengan Suhu Ekstrem ,gedung,0.2401944515139338,0.1273148148148149,0.00012565718067969592,3.842635804555734e-06
Paparan/Kontak dengan Suhu Ekstrem ,korsleting,0.19240126512701397,0.1273148148148149,6.28536910966145e-05,1.5396345663634594e-06
Paparan/Kontak dengan Suhu Ekstrem ,madam,0.18557550949913224,0.1273148148148149,6.28536910966145e-05,1.4850134634341256e-06
